epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8493.95,1.06575,0.42397,0.00159,0.84798,0.33866,0.45241,0.29253,1.40284,1.01395,0.00335,0.000417223,0.000417223,0.000417223
43,8693.93,1.05852,0.4171,0.00156,0.51234,0.45317,0.46555,0.30441,1.31652,0.93402,0.00317,0.000400302,0.000400302,0.000400302
44,8893.95,1.05408,0.41257,0.00157,0.55801,0.45772,0.51088,0.31657,1.38281,0.92574,0.0033,0.00038338,0.00038338,0.00038338
45,9094.3,1.04992,0.40994,0.00156,0.81199,0.36835,0.42694,0.27278,1.38232,0.98269,0.00335,0.000366459,0.000366459,0.000366459
46,9294.52,1.02836,0.40515,0.00151,0.53156,0.46433,0.48271,0.31257,1.34402,0.92069,0.00323,0.000349538,0.000349538,0.000349538
47,9494.89,1.02076,0.38958,0.0015,0.57218,0.40389,0.44263,0.29565,1.33626,1.00861,0.00323,0.000332616,0.000332616,0.000332616
48,9695.11,1.01348,0.38381,0.0015,0.57194,0.44985,0.49116,0.3112,1.39254,0.92504,0.00334,0.000315695,0.000315695,0.000315695
49,9895.24,1.00219,0.37343,0.00147,0.51767,0.44827,0.47195,0.31143,1.33497,0.94345,0.00323,0.000298774,0.000298774,0.000298774
50,10095.1,0.99707,0.37143,0.00145,0.50672,0.44101,0.46885,0.29763,1.32066,0.9908,0.00321,0.000281852,0.000281852,0.000281852
51,10295.3,0.99486,0.37502,0.00147,0.5145,0.44187,0.4706,0.294,1.37705,0.93865,0.00333,0.000264931,0.000264931,0.000264931
52,10495,0.97946,0.35937,0.00143,0.51626,0.44568,0.47723,0.30428,1.3636,0.97405,0.00328,0.000248009,0.000248009,0.000248009
53,10695.1,0.96161,0.3564,0.00141,0.47667,0.47109,0.46953,0.29666,1.3788,0.93887,0.00335,0.000231088,0.000231088,0.000231088
54,10895.1,0.96567,0.35015,0.00141,0.47524,0.46466,0.47914,0.30237,1.3833,0.92446,0.00335,0.000214167,0.000214167,0.000214167
55,11095.7,0.96819,0.35013,0.0014,0.47349,0.44097,0.47112,0.29721,1.36117,0.93936,0.0033,0.000197245,0.000197245,0.000197245
56,11298.2,0.93181,0.32701,0.00154,0.56852,0.39394,0.42189,0.26994,1.37123,0.9763,0.00333,0.000180324,0.000180324,0.000180324
57,11498.9,0.91212,0.31537,0.00151,0.83701,0.36771,0.44003,0.27303,1.40562,0.97227,0.0034,0.000163402,0.000163402,0.000163402
58,11699.1,0.90214,0.30768,0.00147,0.58295,0.39767,0.46166,0.29087,1.40216,0.99667,0.00337,0.000146481,0.000146481,0.000146481
59,11899.1,0.90144,0.30728,0.00148,0.55938,0.40446,0.4284,0.26643,1.44023,0.99143,0.00346,0.00012956,0.00012956,0.00012956
60,12100.9,0.89415,0.30285,0.00145,0.63019,0.37853,0.45851,0.28849,1.39642,0.9302,0.00337,0.000112638,0.000112638,0.000112638
61,12301.5,0.87389,0.29351,0.00142,0.63019,0.3794,0.46967,0.29476,1.38762,0.98577,0.00335,9.57169e-05,9.57169e-05,9.57169e-05
62,12502.4,0.87706,0.29194,0.00142,0.8498,0.36691,0.45765,0.28683,1.37353,0.98861,0.00331,7.87955e-05,7.87955e-05,7.87955e-05
63,12702.8,0.86945,0.2868,0.0014,0.48999,0.45029,0.45834,0.28885,1.38205,0.97455,0.00332,6.18742e-05,6.18742e-05,6.18742e-05
64,12906.8,0.86486,0.28782,0.0014,0.61561,0.38808,0.45639,0.28996,1.37926,0.96917,0.00333,4.49528e-05,4.49528e-05,4.49528e-05
65,13112.4,0.86933,0.2861,0.00139,0.63022,0.377,0.45074,0.28708,1.36815,0.95257,0.0033,2.80314e-05,2.80314e-05,2.80314e-05
