epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13797.2,0.98428,0.49436,0.96715,0.539,0.47102,0.50007,0.31682,1.39837,0.85289,1.09903,0.000417223,0.000417223,0.000417223
43,14125,0.97389,0.48294,0.9636,0.5807,0.44745,0.52972,0.34196,1.37788,0.80584,1.10797,0.000400302,0.000400302,0.000400302
44,14453.8,0.97527,0.48307,0.96314,0.59241,0.43846,0.4872,0.31073,1.36037,0.8155,1.09742,0.00038338,0.00038338,0.00038338
45,14781.1,0.96423,0.47413,0.95763,0.51422,0.46317,0.49391,0.31263,1.35635,0.82097,1.08903,0.000366459,0.000366459,0.000366459
46,15109,0.95089,0.46638,0.95706,0.61624,0.43741,0.4688,0.31125,1.33962,0.85399,1.09192,0.000349538,0.000349538,0.000349538
47,15436.3,0.94699,0.46512,0.9526,0.55812,0.47837,0.46208,0.31055,1.31157,0.85805,1.08058,0.000332616,0.000332616,0.000332616
48,15763.1,0.93788,0.45594,0.95138,0.609,0.41035,0.46319,0.2947,1.38344,0.88522,1.10491,0.000315695,0.000315695,0.000315695
49,16090.4,0.92026,0.4475,0.94286,0.583,0.46037,0.47818,0.32069,1.34108,0.87742,1.09562,0.000298774,0.000298774,0.000298774
50,16418.1,0.92102,0.44369,0.94281,0.6272,0.40987,0.48593,0.32506,1.33041,0.83846,1.09133,0.000281852,0.000281852,0.000281852
51,16746.2,0.92269,0.44587,0.94319,0.58414,0.41241,0.47821,0.32081,1.34112,0.81551,1.09324,0.000264931,0.000264931,0.000264931
52,17073,0.90445,0.43558,0.93664,0.54301,0.4402,0.47584,0.31661,1.31936,0.85255,1.08159,0.000248009,0.000248009,0.000248009
53,17401.1,0.8877,0.42504,0.93263,0.60817,0.47941,0.52186,0.32865,1.35604,0.81096,1.09723,0.000231088,0.000231088,0.000231088
54,17729.2,0.88802,0.42429,0.93602,0.57038,0.42985,0.50243,0.33894,1.32053,0.77417,1.08349,0.000214167,0.000214167,0.000214167
55,18056.8,0.8835,0.42132,0.93031,0.55024,0.44032,0.44205,0.29739,1.2697,0.82563,1.08119,0.000197245,0.000197245,0.000197245
56,18386.8,0.89037,0.42322,0.95294,0.57062,0.43898,0.47772,0.31975,1.30776,0.79279,1.08599,0.000180324,0.000180324,0.000180324
57,18715.3,0.86639,0.40602,0.94611,0.57494,0.43714,0.46151,0.29751,1.38059,0.84169,1.1052,0.000163402,0.000163402,0.000163402
58,19044.6,0.85551,0.39914,0.94022,0.58954,0.42489,0.47294,0.30562,1.38929,0.85026,1.10676,0.000146481,0.000146481,0.000146481
59,19374.1,0.85093,0.40016,0.94135,0.57154,0.45089,0.50205,0.32308,1.38215,0.81145,1.11161,0.00012956,0.00012956,0.00012956
60,19703.1,0.84184,0.39132,0.93732,0.57784,0.46528,0.53354,0.34874,1.35946,0.78254,1.10161,0.000112638,0.000112638,0.000112638
61,20033,0.82365,0.38073,0.92731,0.54223,0.51879,0.52438,0.34254,1.35161,0.77636,1.1067,9.57169e-05,9.57169e-05,9.57169e-05
62,20362.3,0.82153,0.37837,0.92553,0.55839,0.47717,0.50226,0.32786,1.35916,0.7783,1.11115,7.87955e-05,7.87955e-05,7.87955e-05
63,20691.4,0.81511,0.37592,0.9193,0.6379,0.43638,0.50957,0.33817,1.32793,0.7906,1.10506,6.18742e-05,6.18742e-05,6.18742e-05
64,21020.2,0.80817,0.3711,0.92154,0.51153,0.50556,0.50474,0.3361,1.31741,0.78573,1.09996,4.49528e-05,4.49528e-05,4.49528e-05
65,21349.2,0.80423,0.36893,0.9209,0.53195,0.47479,0.48124,0.32581,1.32464,0.80089,1.10293,2.80314e-05,2.80314e-05,2.80314e-05
