epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/bee,val/AP/bumblebee,val/AP/hoverfly,val/AP/moth,val/AP/other_insect,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,249,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,299,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,337,,,,,,,,,,,,,,,,,,,,,,,,,,0.5124846696853638,0.5223434567451477,0.11832022666931152,0.3972964286804199,0.01557545643299818,0.5207341313362122,298.8247985839844,298.7895202636719,298.8290710449219,298.83013916015625,298.83013916015625,9.943572998046875,0.5130895376205444,0.31303349137306213,0.6088516712188721,6.246838569641113,0.0134518351405859,0.013614922761917114,0.013510031625628471,0.013384279794991016,0.014376702718436718,0.7094590663909912,0.7128899097442627,0.72060227394104,0.7208956480026245,0.7432156801223755,0.22592481970787048,0.22870376706123352,0.22757147252559662,0.22661422193050385,0.2402302473783493,0.519530713558197,0.3132040500640869,0.3128904700279236,0.6138436198234558,0.5320104360580444,0.5281960964202881
0,337,3893.983642578125,3887.13232421875,3894.477783203125,3896.009521484375,3888.630126953125,15.47368049621582,6.585055351257324,0.016823820769786835,0.01733153499662876,0.017082730308175087,0.016823941841721535,0.018462134525179863,0.7189984917640686,0.7519439458847046,0.7196107506752014,0.7185514569282532,0.7579600214958191,0.2442650943994522,0.24741072952747345,0.2452441155910492,0.244166761636734,0.26159778237342834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,449,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,499,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,549,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,599,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,649,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,675,,,,,,,,,,,,,,,,,,,,,,,,,,0.5356876254081726,0.5146859288215637,0.13015256822109222,0.12354602664709091,0.006544883828610182,0.39161303639411926,298.83013916015625,298.7628173828125,298.82159423828125,298.8290710449219,298.8290710449219,9.462590217590332,0.5214396715164185,0.32238808274269104,0.6236977577209473,6.224231243133545,0.012731989845633507,0.013233416713774204,0.01303068082779646,0.012870030477643013,0.014542404562234879,0.7263157367706299,0.7103201746940613,0.7084740996360779,0.7215381264686584,0.7320101261138916,0.22052520513534546,0.22653302550315857,0.22533263266086578,0.22288496792316437,0.25148916244506836,0.4186170995235443,0.2621234059333801,0.28046467900276184,0.6066827774047852,0.6047260165214539,0.3727002739906311
1,675,3898.15283203125,3892.275146484375,3897.84912109375,3898.230712890625,3898.107666015625,4.30811071395874,5.631738185882568,0.014408544637262821,0.014651755802333355,0.01454662811011076,0.014485380612313747,0.01593119278550148,0.5866765379905701,0.616168737411499,0.5888224244117737,0.586668074131012,0.6155876517295837,0.22238001227378845,0.2247900366783142,0.2236030101776123,0.2231380045413971,0.23993897438049316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,699,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,749,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,799,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,849,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,899,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,949,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,999,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1013,,,,,,,,,,,,,,,,,,,,,,,,,,0.5187042355537415,0.5106475353240967,0.1720300316810608,0.4128347337245941,0.06790212541818619,0.522829532623291,298.83013916015625,298.8226623535156,298.83013916015625,298.83013916015625,298.83013916015625,11.60167121887207,0.5734193921089172,0.3493707478046417,0.622918963432312,6.419457912445068,0.013512764126062393,0.013574125245213509,0.013431275263428688,0.01341400295495987,0.013834068551659584,0.7432881593704224,0.7344000339508057,0.7517409324645996,0.7479454874992371,0.7649903297424316,0.2332850992679596,0.2326507270336151,0.2313167005777359,0.23259948194026947,0.2392796277999878,0.5845106244087219,0.33642372488975525,0.3424237370491028,0.6056714653968811,0.6285841464996338,0.5061790347099304
2,1013,3898.26806640625,3895.77392578125,3898.142822265625,3898.258544921875,3898.33984375,3.9935970306396484,5.471578121185303,0.014078841544687748,0.014320637099444866,0.014138196595013142,0.014042237773537636,0.015605120919644833,0.566375195980072,0.5928056836128235,0.567588210105896,0.5671384334564209,0.5938425064086914,0.21831153333187103,0.2201768159866333,0.2189216911792755,0.2184046059846878,0.2356358766555786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1049,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1099,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1149,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1199,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1249,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1299,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
